Dataset,Method,Metric,Scaler,Cophenet,vanDongen,adjRand
audio_features,single,braycurtis,minMax,0.3171062062219516,0.997709049255441,4.8777547452419434e-05
audio_features,single,braycurtis,standard,0.1027972281854004,0.997709049255441,4.8777547452419434e-05
audio_features,complete,braycurtis,minMax,0.6072254928502782,0.9356544733362715,0.019141997512292206
audio_features,complete,braycurtis,standard,0.346390553446269,0.9356544733362715,0.019141997512292206
audio_features,average,braycurtis,minMax,0.6705735655567562,0.9547403525488328,0.012020064342069647
audio_features,average,braycurtis,standard,0.4492406295868048,0.9547403525488328,0.012020064342069647
audio_features,single,canberra,minMax,0.18632708100676135,0.997709049255441,5.9095901991375934e-05
audio_features,single,canberra,standard,0.031198407272587124,0.997709049255441,5.9095901991375934e-05
audio_features,complete,canberra,minMax,0.48995990990603544,0.7504598405885959,0.15593100527918743
audio_features,complete,canberra,standard,0.3011882162651451,0.7504598405885959,0.15593100527918743
audio_features,average,canberra,minMax,0.5823724387632407,0.6347011596788582,0.1825299232003383
audio_features,average,canberra,standard,0.40901862031215364,0.6347011596788582,0.1825299232003383
audio_features,single,chebyshev,minMax,0.5319044646720653,0.9971428571428571,0.00014830785845359266
audio_features,single,chebyshev,standard,0.4399907462081369,0.9971428571428571,0.00014830785845359266
audio_features,complete,chebyshev,minMax,0.4012477936036804,0.9845303867403314,0.001857263690739113
audio_features,complete,chebyshev,standard,0.6252451736494048,0.9845303867403314,0.001857263690739113
audio_features,average,chebyshev,minMax,0.6893593885331003,0.9855715871254163,0.0015660749321533781
audio_features,average,chebyshev,standard,0.6714781056924808,0.9855715871254163,0.0015660749321533781
audio_features,single,cityblock,minMax,0.48052631122943107,0.9971428571428571,0.00014830785845359266
audio_features,single,cityblock,standard,0.5093009873179417,0.9971428571428571,0.00014830785845359266
audio_features,complete,cityblock,minMax,0.5671500034473664,0.9845303867403314,0.001857263690739113
audio_features,complete,cityblock,standard,0.4574240417591782,0.9845303867403314,0.001857263690739113
audio_features,average,cityblock,minMax,0.6672055882520952,0.9855715871254163,0.0015660749321533781
audio_features,average,cityblock,standard,0.6075814664631225,0.9855715871254163,0.0015660749321533781
audio_features,single,correlation,minMax,0.5334278065609837,0.9988545246277205,-1.4164415235215224e-05
audio_features,single,correlation,standard,0.019316378583512827,0.9988545246277205,-1.4164415235215224e-05
audio_features,complete,correlation,minMax,0.6883131656345941,0.9865836128413992,0.000521574953821517
audio_features,complete,correlation,standard,0.3331463614434046,0.9865836128413992,0.000521574953821517
audio_features,average,correlation,minMax,0.6958408077547328,0.9875124875124875,0.0016223064893146621
audio_features,average,correlation,standard,0.4488483898954892,0.9875124875124875,0.0016223064893146621
audio_features,single,cosine,minMax,0.5298515545146032,0.9988545246277205,-1.4164415235215224e-05
audio_features,single,cosine,standard,0.009752542830630536,0.9988545246277205,-1.4164415235215224e-05
audio_features,complete,cosine,minMax,0.6187508583490792,0.9475268817204301,0.011025796565389436
audio_features,complete,cosine,standard,0.3273122306439655,0.9475268817204301,0.011025796565389436
audio_features,average,cosine,minMax,0.6839388123430372,0.9906951286261632,0.000866940406329451
audio_features,average,cosine,standard,0.42619303317572693,0.9906951286261632,0.000866940406329451
audio_features,single,dice,minMax,0.4261174952202484,0.9764957264957265,0.0007119572729655871
audio_features,single,dice,standard,,0.9764957264957265,0.0007119572729655871
audio_features,complete,dice,minMax,0.4201467540977406,0.9813793103448276,0.002886929837999752
audio_features,complete,dice,standard,,0.9813793103448276,0.002886929837999752
audio_features,average,dice,minMax,0.4076092225249362,0.9678348535765723,0.0030364804073618437
audio_features,average,dice,standard,,0.9678348535765723,0.0030364804073618437
audio_features,single,euclidean,minMax,0.5392611883342603,0.9971428571428571,0.00014830785845359266
audio_features,single,euclidean,standard,0.5885003478850621,0.9971428571428571,0.00014830785845359266
audio_features,complete,euclidean,minMax,0.5843428964750002,0.9845303867403314,0.001857263690739113
audio_features,complete,euclidean,standard,0.5623149400489024,0.9845303867403314,0.001857263690739113
audio_features,average,euclidean,minMax,0.7042391118575693,0.9855715871254163,0.0015660749321533781
audio_features,average,euclidean,standard,0.7332261047703825,0.9855715871254163,0.0015660749321533781
audio_features,ward,euclidean,minMax,0.6701888011475869,0.8703339882121808,0.03586516240718257
audio_features,ward,euclidean,standard,0.4339092055933509,0.8703339882121808,0.03586516240718257
audio_features,single,hamming,minMax,0.09317591252643667,0.997709049255441,0.00015815210556535835
audio_features,single,hamming,standard,0.06971075083417363,0.997709049255441,0.00015815210556535835
audio_features,complete,hamming,minMax,0.37859894183789955,0.9426203379024546,0.010775108519455606
audio_features,complete,hamming,standard,0.16063916517109833,0.9426203379024546,0.010775108519455606
